date,stock_id,country,revenue,revenue_month,revenue_year,create_time
2015-01-01,3044,Taiwan,3607532000,12,2014,
2015-02-01,3044,Taiwan,3848299000,1,2015,
2015-03-01,3044,Taiwan,2930655000,2,2015,
2015-04-01,3044,Taiwan,3213945000,3,2015,
2015-05-01,3044,Taiwan,3434133000,4,2015,
2015-06-01,3044,Taiwan,3316749000,5,2015,
2015-07-01,3044,Taiwan,3482476000,6,2015,
2015-08-01,3044,Taiwan,3829270000,7,2015,
2015-09-01,3044,Taiwan,3965291000,8,2015,
2015-10-01,3044,Taiwan,4149648000,9,2015,
2015-11-01,3044,Taiwan,3869359000,10,2015,
2015-12-01,3044,Taiwan,3773293000,11,2015,
2016-01-01,3044,Taiwan,3569699000,12,2015,
2016-02-01,3044,Taiwan,3678214000,1,2016,
2016-03-01,3044,Taiwan,2954998000,2,2016,
2016-04-01,3044,Taiwan,3311684000,3,2016,
2016-05-01,3044,Taiwan,3473255000,4,2016,
2016-06-01,3044,Taiwan,3596987000,5,2016,
2016-07-01,3044,Taiwan,3592573000,6,2016,
2016-08-01,3044,Taiwan,3780489000,7,2016,
2016-09-01,3044,Taiwan,3923320000,8,2016,
2016-10-01,3044,Taiwan,3915325000,9,2016,
2016-11-01,3044,Taiwan,3791361000,10,2016,
2016-12-01,3044,Taiwan,3855822000,11,2016,
2017-01-01,3044,Taiwan,3638900000,12,2016,
2017-02-01,3044,Taiwan,3320256000,1,2017,
2017-03-01,3044,Taiwan,3357100000,2,2017,
2017-04-01,3044,Taiwan,3607739000,3,2017,
2017-05-01,3044,Taiwan,3375266000,4,2017,
2017-06-01,3044,Taiwan,3575661000,5,2017,
2017-07-01,3044,Taiwan,3685073000,6,2017,
2017-08-01,3044,Taiwan,3877785000,7,2017,
2017-09-01,3044,Taiwan,4136995000,8,2017,
2017-10-01,3044,Taiwan,4286599000,9,2017,
2017-11-01,3044,Taiwan,4154893000,10,2017,
2017-12-01,3044,Taiwan,4331011000,11,2017,
2018-01-01,3044,Taiwan,4110223000,12,2017,
2018-02-01,3044,Taiwan,4363131000,1,2018,
2018-03-01,3044,Taiwan,3324572000,2,2018,
2018-04-01,3044,Taiwan,3839865000,3,2018,
2018-05-01,3044,Taiwan,4056725000,4,2018,
2018-06-01,3044,Taiwan,4434276000,5,2018,
2018-07-01,3044,Taiwan,4251438000,6,2018,
2018-08-01,3044,Taiwan,4826128000,7,2018,
2018-09-01,3044,Taiwan,4995386000,8,2018,
2018-10-01,3044,Taiwan,4901943000,9,2018,
2018-11-01,3044,Taiwan,4701002000,10,2018,
2018-12-01,3044,Taiwan,4630738000,11,2018,
2019-01-01,3044,Taiwan,3780478000,12,2018,
2019-02-01,3044,Taiwan,4783670000,1,2019,
2019-03-01,3044,Taiwan,3366207000,2,2019,
2019-04-01,3044,Taiwan,3910124000,3,2019,
2019-05-01,3044,Taiwan,4284289000,4,2019,
2019-06-01,3044,Taiwan,4577750000,5,2019,
2019-07-01,3044,Taiwan,4421563000,6,2019,
2019-08-01,3044,Taiwan,4966751000,7,2019,
2019-09-01,3044,Taiwan,5183466000,8,2019,
2019-10-01,3044,Taiwan,4958680000,9,2019,
2019-11-01,3044,Taiwan,4796460000,10,2019,
2019-12-01,3044,Taiwan,4768112000,11,2019,
2020-01-01,3044,Taiwan,4433874000,12,2019,
2020-02-01,3044,Taiwan,3996067000,1,2020,
2020-03-01,3044,Taiwan,3706215000,2,2020,
2020-04-01,3044,Taiwan,4015790000,3,2020,
2020-05-01,3044,Taiwan,4152910000,4,2020,
2020-06-01,3044,Taiwan,4277653000,5,2020,
2020-07-01,3044,Taiwan,4579118000,6,2020,
2020-08-01,3044,Taiwan,5086246000,7,2020,
2020-09-01,3044,Taiwan,5109168000,8,2020,
2020-10-01,3044,Taiwan,5515802000,9,2020,
2020-11-01,3044,Taiwan,4908088000,10,2020,
2020-12-01,3044,Taiwan,4932904000,11,2020,
2021-01-01,3044,Taiwan,5267946000,12,2020,
2021-02-01,3044,Taiwan,5815827000,1,2021,
2021-03-01,3044,Taiwan,4194180000,2,2021,
2021-04-01,3044,Taiwan,5091046000,3,2021,
2021-05-01,3044,Taiwan,5147940000,4,2021,
