date,stock_id,country,revenue,revenue_month,revenue_year,create_time
2015-01-01,1513,Taiwan,1207970000,12,2014,
2015-02-01,1513,Taiwan,855877000,1,2015,
2015-03-01,1513,Taiwan,511640000,2,2015,
2015-04-01,1513,Taiwan,713859000,3,2015,
2015-05-01,1513,Taiwan,713196000,4,2015,
2015-06-01,1513,Taiwan,788543000,5,2015,
2015-07-01,1513,Taiwan,966162000,6,2015,
2015-08-01,1513,Taiwan,696807000,7,2015,
2015-09-01,1513,Taiwan,1028471000,8,2015,
2015-10-01,1513,Taiwan,836663000,9,2015,
2015-11-01,1513,Taiwan,1180030000,10,2015,
2015-12-01,1513,Taiwan,815209000,11,2015,
2016-01-01,1513,Taiwan,1245553000,12,2015,
2016-02-01,1513,Taiwan,1462961000,1,2016,
2016-03-01,1513,Taiwan,478828000,2,2016,
2016-04-01,1513,Taiwan,1477839000,3,2016,
2016-05-01,1513,Taiwan,629564000,4,2016,
2016-06-01,1513,Taiwan,1040907000,5,2016,
2016-07-01,1513,Taiwan,774482000,6,2016,
2016-08-01,1513,Taiwan,989344000,7,2016,
2016-09-01,1513,Taiwan,1282623000,8,2016,
2016-10-01,1513,Taiwan,705596000,9,2016,
2016-11-01,1513,Taiwan,923947000,10,2016,
2016-12-01,1513,Taiwan,1305010000,11,2016,
2017-01-01,1513,Taiwan,1641545000,12,2016,
2017-02-01,1513,Taiwan,789341000,1,2017,
2017-03-01,1513,Taiwan,698395000,2,2017,
2017-04-01,1513,Taiwan,1073473000,3,2017,
2017-05-01,1513,Taiwan,693513000,4,2017,
2017-06-01,1513,Taiwan,829626000,5,2017,
2017-07-01,1513,Taiwan,952338000,6,2017,
2017-08-01,1513,Taiwan,1310530000,7,2017,
2017-09-01,1513,Taiwan,803307000,8,2017,
2017-10-01,1513,Taiwan,828999000,9,2017,
2017-11-01,1513,Taiwan,720781000,10,2017,
2017-12-01,1513,Taiwan,1576605000,11,2017,
2018-01-01,1513,Taiwan,1117831000,12,2017,
2018-02-01,1513,Taiwan,691777000,1,2018,
2018-03-01,1513,Taiwan,699306000,2,2018,
2018-04-01,1513,Taiwan,1168536000,3,2018,
2018-05-01,1513,Taiwan,1011622000,4,2018,
2018-06-01,1513,Taiwan,762305000,5,2018,
2018-07-01,1513,Taiwan,1099422000,6,2018,
2018-08-01,1513,Taiwan,890445000,7,2018,
2018-09-01,1513,Taiwan,881866000,8,2018,
2018-10-01,1513,Taiwan,1772288000,9,2018,
2018-11-01,1513,Taiwan,1022903000,10,2018,
2018-12-01,1513,Taiwan,1059719000,11,2018,
