date,stock_id,country,revenue,revenue_month,revenue_year,create_time
2015-01-01,2379,Taiwan,2488593000,12,2014,
2015-02-01,2379,Taiwan,2804194000,1,2015,
2015-03-01,2379,Taiwan,2092893000,2,2015,
2015-04-01,2379,Taiwan,2548965000,3,2015,
2015-05-01,2379,Taiwan,2648445000,4,2015,
2015-06-01,2379,Taiwan,2370525000,5,2015,
2015-07-01,2379,Taiwan,2129102000,6,2015,
2015-08-01,2379,Taiwan,2302723000,7,2015,
2015-09-01,2379,Taiwan,2569358000,8,2015,
2015-10-01,2379,Taiwan,3039378000,9,2015,
2015-11-01,2379,Taiwan,2982596000,10,2015,
2015-12-01,2379,Taiwan,3366443000,11,2015,
2016-01-01,2379,Taiwan,2891187000,12,2015,
2016-02-01,2379,Taiwan,3257032000,1,2016,
2016-03-01,2379,Taiwan,2289051000,2,2016,
2016-04-01,2379,Taiwan,3441101000,3,2016,
2016-05-01,2379,Taiwan,3476643000,4,2016,
2016-06-01,2379,Taiwan,3325449000,5,2016,
2016-07-01,2379,Taiwan,3044714000,6,2016,
2016-08-01,2379,Taiwan,3168056000,7,2016,
2016-09-01,2379,Taiwan,3461014000,8,2016,
2016-10-01,2379,Taiwan,3650291000,9,2016,
2016-11-01,2379,Taiwan,3463970000,10,2016,
2016-12-01,2379,Taiwan,3343474000,11,2016,
2017-01-01,2379,Taiwan,2993236000,12,2016,
2017-02-01,2379,Taiwan,3516214000,1,2017,
2017-03-01,2379,Taiwan,3046900000,2,2017,
2017-04-01,2379,Taiwan,3420324000,3,2017,
2017-05-01,2379,Taiwan,3433425000,4,2017,
2017-06-01,2379,Taiwan,3299050000,5,2017,
2017-07-01,2379,Taiwan,3219047000,6,2017,
2017-08-01,2379,Taiwan,3430779000,7,2017,
2017-09-01,2379,Taiwan,3597289000,8,2017,
2017-10-01,2379,Taiwan,3923389000,9,2017,
2017-11-01,2379,Taiwan,3681813000,10,2017,
2017-12-01,2379,Taiwan,3764484000,11,2017,
2018-01-01,2379,Taiwan,3355307000,12,2017,
2018-02-01,2379,Taiwan,3865058000,1,2018,
2018-03-01,2379,Taiwan,3065291000,2,2018,
2018-04-01,2379,Taiwan,3696017000,3,2018,
2018-05-01,2379,Taiwan,3753531000,4,2018,
2018-06-01,2379,Taiwan,3778812000,5,2018,
2018-07-01,2379,Taiwan,3619550000,6,2018,
2018-08-01,2379,Taiwan,3859402000,7,2018,
2018-09-01,2379,Taiwan,4082092000,8,2018,
2018-10-01,2379,Taiwan,4144402000,9,2018,
2018-11-01,2379,Taiwan,3964092000,10,2018,
2018-12-01,2379,Taiwan,4050690000,11,2018,
2019-01-01,2379,Taiwan,3926809000,12,2018,
2019-02-01,2379,Taiwan,4662891000,1,2019,
2019-03-01,2379,Taiwan,3677246000,2,2019,
2019-04-01,2379,Taiwan,4494505000,3,2019,
2019-05-01,2379,Taiwan,4872021000,4,2019,
2019-06-01,2379,Taiwan,5308911000,5,2019,
2019-07-01,2379,Taiwan,5000623000,6,2019,
2019-08-01,2379,Taiwan,4952171000,7,2019,
2019-09-01,2379,Taiwan,5189570000,8,2019,
2019-10-01,2379,Taiwan,5901369000,9,2019,
2019-11-01,2379,Taiwan,5685914000,10,2019,
2019-12-01,2379,Taiwan,5485101000,11,2019,
2020-01-01,2379,Taiwan,5513684000,12,2019,
2020-02-01,2379,Taiwan,5390129000,1,2020,
2020-03-01,2379,Taiwan,5107522000,2,2020,
2020-04-01,2379,Taiwan,5430381000,3,2020,
2020-05-01,2379,Taiwan,5533446000,4,2020,
2020-06-01,2379,Taiwan,5725927000,5,2020,
2020-07-01,2379,Taiwan,6078792000,6,2020,
2020-08-01,2379,Taiwan,6935184000,7,2020,
2020-09-01,2379,Taiwan,7300353000,8,2020,
