date,stock_id,country,revenue,revenue_month,revenue_year,create_time
2015-01-01,2395,Taiwan,3193994000,12,2014,
2015-02-01,2395,Taiwan,3052169000,1,2015,
2015-03-01,2395,Taiwan,2357254000,2,2015,
2015-04-01,2395,Taiwan,3393302000,3,2015,
2015-05-01,2395,Taiwan,3273808000,4,2015,
2015-06-01,2395,Taiwan,3004679000,5,2015,
2015-07-01,2395,Taiwan,3730527000,6,2015,
2015-08-01,2395,Taiwan,3168352000,7,2015,
2015-09-01,2395,Taiwan,3096526000,8,2015,
2015-10-01,2395,Taiwan,3212024000,9,2015,
2015-11-01,2395,Taiwan,3255876000,10,2015,
2015-12-01,2395,Taiwan,3164423000,11,2015,
2016-01-01,2395,Taiwan,3330856000,12,2015,
2016-02-01,2395,Taiwan,3289158000,1,2016,
2016-03-01,2395,Taiwan,2704484000,2,2016,
2016-04-01,2395,Taiwan,4080766000,3,2016,
2016-05-01,2395,Taiwan,3301012000,4,2016,
2016-06-01,2395,Taiwan,3521427000,5,2016,
2016-07-01,2395,Taiwan,3889064000,6,2016,
2016-08-01,2395,Taiwan,3287164000,7,2016,
2016-09-01,2395,Taiwan,3580854000,8,2016,
2016-10-01,2395,Taiwan,3543313000,9,2016,
2016-11-01,2395,Taiwan,3173071000,10,2016,
2016-12-01,2395,Taiwan,3806469000,11,2016,
2017-01-01,2395,Taiwan,3825414000,12,2016,
2017-02-01,2395,Taiwan,3034181000,1,2017,
2017-03-01,2395,Taiwan,2958128000,2,2017,
2017-04-01,2395,Taiwan,4013930000,3,2017,
2017-05-01,2395,Taiwan,3365193000,4,2017,
2017-06-01,2395,Taiwan,3672077000,5,2017,
2017-07-01,2395,Taiwan,4368838000,6,2017,
2017-08-01,2395,Taiwan,3440245000,7,2017,
2017-09-01,2395,Taiwan,3824381000,8,2017,
2017-10-01,2395,Taiwan,3938168000,9,2017,
2017-11-01,2395,Taiwan,3621135000,10,2017,
2017-12-01,2395,Taiwan,4211590000,11,2017,
2018-01-01,2395,Taiwan,3926885000,12,2017,
2018-02-01,2395,Taiwan,4000087000,1,2018,
2018-03-01,2395,Taiwan,2965569000,2,2018,
2018-04-01,2395,Taiwan,4389539000,3,2018,
2018-05-01,2395,Taiwan,3780766000,4,2018,
2018-06-01,2395,Taiwan,4472613000,5,2018,
2018-07-01,2395,Taiwan,4392065000,6,2018,
2018-08-01,2395,Taiwan,4092896000,7,2018,
2018-09-01,2395,Taiwan,4428360000,8,2018,
2018-10-01,2395,Taiwan,3838399000,9,2018,
2018-11-01,2395,Taiwan,4157300000,10,2018,
2018-12-01,2395,Taiwan,4150627000,11,2018,
2019-01-01,2395,Taiwan,4106964000,12,2018,
2019-02-01,2395,Taiwan,4176768000,1,2019,
2019-03-01,2395,Taiwan,3570476000,2,2019,
2019-04-01,2395,Taiwan,4553346000,3,2019,
2019-05-01,2395,Taiwan,4657548000,4,2019,
2019-06-01,2395,Taiwan,4649097000,5,2019,
2019-07-01,2395,Taiwan,4669370000,6,2019,
2019-08-01,2395,Taiwan,4569296000,7,2019,
2019-09-01,2395,Taiwan,4825344000,8,2019,
2019-10-01,2395,Taiwan,4987642000,9,2019,
2019-11-01,2395,Taiwan,4788639000,10,2019,
2019-12-01,2395,Taiwan,4433721000,11,2019,
2020-01-01,2395,Taiwan,4447477000,12,2019,
2020-02-01,2395,Taiwan,3964219000,1,2020,
2020-03-01,2395,Taiwan,3231064000,2,2020,
